Column1,Unnamed: 0,No.,Comment,Label
3738,3738,3739,ko chim chán_thế,0
3891,3891,3892,medu đánh am quạt đực đi mua ô xy dần,0
3596,3596,3597,haaaa,0
6499,6499,6500,má bay,0
6214,6214,6215,,0
1933,1933,1934,hi_vọng ck 4 team vn,0
540,540,541,out trình,0
7915,7915,7916,độ quét trụ = ) ),0
7151,7151,7152,đổ xăng hộ : ) ),0
320,320,321,ông_già chào cắn ku đóa,2
4475,4475,4476,thằng nyx account buỷe report đi,0
7328,7328,7329,2q 1 đứa vãi lồn,1
7622,7622,7623,thua tuột quần_vậy chênh 2k,0
8079,8079,8080,zeus bố,0
5589,5589,5590,dạng háng to,1
4581,4581,4582,trận ngài cầm carry méo đồ dame,0
4139,4139,4140,ns keeper spam q liên tuc,0
3517,3517,3518,g_thọ thưa v. . . nghi,0
734,734,735,khu apac doanh_thu ko nhật,0
5487,5487,5488,đánh ad,0
79,79,80,xao lol ghê = ) ) ) ) ),1
2693,2693,2694,vasto bắn ghê,0
6998,6998,6999,chuyên_nghiệp vãi lồn : dd chia phim,1
6057,6057,6058,dfm yếu,0
5117,5117,5118,,0
1205,1205,1206,@ nhan van,0
1122,1122,1123,vl neon,2
5328,5328,5329,heal đi,0
3824,3824,3825,ma : ) ) ),0
5452,5452,5453,afk,0
5222,5222,5223,cướp,0
6316,6316,6317,nio tốc,0
1102,1102,1103,vc éo,1
5180,5180,5181,all top,0
798,798,799,jamppi ope = ) ) gg,0
4216,4216,4217,dẻo awesome,0
3321,3321,3322,cười vl,1
4938,4938,4939,hão não,0
2502,2502,2503,taem sgp vô_địch  ,0
8051,8051,8052,ngộ cứu thầy mấy đứa : ) ) ),0
711,711,712,cái_trò nhảy thùng chuột classic,0
1955,1955,1956,hq tóp 12,0
264,264,265,đánh dell gắn_kết,1
7155,7155,7156,dồi,0
7282,7282,7283,vẫn ổn_áp e nguyện đẹp zai,0
1956,1956,1957,hq máu tank bo đi đừg bắn cầm súng nhục ,0
1268,1268,1269,ad phong_độ ko,0
5761,5761,5762,arhi_e ác,0
4481,4481,4482,rio chán vcl,1
6112,6112,6113,lồn mả mẹ mày sủa lắm,2
3689,3689,3690,k cứu,0
745,745,746,in đô chết,0
2726,2726,2727,vm vô_địch giải quốc_nội thái lạ v,0
4483,4483,4484,thau,0
3168,3168,3169,chê awesome,2
4003,4003,4004,ngài đừng spam đc ko . ngứa_mắt,0
6153,6153,6154,tao thích_thế,0
7229,7229,7230,hien dc thoi gian tren map z,0
5981,5981,5982,buff dame tao,0
5778,5778,5779,game crack sinh boss ngẫu_nhiên a,0
7075,7075,7076,lên_đường,0
2565,2565,2566,vtv 360 wc,0
5877,5877,5878,tao mày chửi,0
804,804,805,choke op : ) ),0
1142,1142,1143,vcl sova chim chamber kìa : ) ),1
2381,2381,2382,sgp,0
3665,3665,3666,huy_chương đồng seagame đi nvqs cc awesome,1
1850,1850,1851,game 3 🤣 🤣,0
2657,2657,2658,ms game 1,0
7516,7516,7517,tí yado báo ngya,0
5920,5920,5921,đánh lồn laiu,1
7568,7568,7569,nhịp thở,0
4950,4950,4951,yado thở oxi cmnr,1
3513,3513,3514,free farm feed,0
2311,2311,2312,niềm hãnh_diện 0 kill,0
5879,5879,5880,hài vãi lồn,1
3623,3623,3624,heavy armor,0
3999,3999,4000,ngài đập đầu_vào lan_can,0
7706,7706,7707,doran trở bản_chất,0
962,962,963,lext ton đi lộc,0
6374,6374,6375,lee ngu vãi cặc,2
724,724,725,bao h view valorant việt nam dc 20k view : ) ),0
2938,2938,2939,ném lửa đấy = ) ),0
1472,1472,1473,bút_bi le dần ko có_tuổi,2
2979,2979,2980,giàu vc,1
5140,5140,5141,lẻ cặc,1
1287,1287,1288,"ai , miễn vn thắng đc",0
6164,6164,6165,dốt vãi lồn,1
1327,1327,1328,bác gấu chào cc,1
1039,1039,1040,jerryitaly on top,0
1667,1667,1668,đặt niềm sgp,0
6922,6922,6923,gengu truyền_thống quốc_tế lót đường,0
3268,3268,3269,cóc quỷ vl,1
2149,2149,2150,mấy a favelas nhồng vl,1
5911,5911,5912,đùa tý cangh,0
2200,2200,2201,metachi ngoi ròi : v,0
7403,7403,7404,stream rễ_thần,0
7417,7417,7418,ko áp_lực thành_công,0
138,138,139,phe vai lz,1
2257,2257,2258,nge 2thằng mệt,2
402,402,403,gambit kẹt visa,0
7301,7301,7302,gáy : ) ),0
6195,6195,6196,sợ chạy,0
4832,4832,4833,riết game nát vãi cặc,1
7160,7160,7161,sếp lật mặt lật bàn_tay : ) ) ),0
3875,3875,3876,may gio ban vay anh emm oiiii,0
5078,5078,5079,rồng đi,0
2244,2244,2245,nếu veres kéo trúng mai veres sm,0
2423,2423,2424,rồi,0
4298,4298,4299,sao chậm,0
342,342,343,đánh stage xong 2 thành_viên,0
1435,1435,1436,bồn bình enzo cân 100 sát quỷ đoàn,0
6969,6969,6970,ko dao,0
3851,3851,3852,mas,0
2568,2568,2569,thời bắn_tay to chúng m chs ? ? ? ?,0
6751,6751,6752,gank n ngu hả j4,2
1938,1938,1939,thua chả,0
2113,2113,2114,m khên fw fw tạch,0
1552,1552,1553,ck pải vn co wiev,0
534,534,535,vn bữa giải university redneval hành mấy ae bã . thái lan vã te_tua,0
2771,2771,2772,yếu vl pick tướng k tướng đánh tank,1
192,192,193,onic đen vl xia cút = ) ) ) ),1
1132,1132,1133,"ult , kia hoảng_loạn vl",1
1247,1247,1248,5 tỷ chớp ngoan đi,0
1128,1128,1129,vl ferrari peek,1
7669,7669,7670,gam mua 5 hộp cơm gà r : < v ngán chết,0
1992,1992,1993,jiro bắt vio pha ko,0
8032,8032,8033,tê ta . hang vẻ hơi trật trội_kkk,0
3297,3297,3298,creep lol,1
391,391,392,con sage vs viper mid đồ,0
566,566,567,đi ko đi,0
3253,3253,3254,vy bet ăn_đậm sủi rồiawesome,0
874,874,875,các lệnh kênh : ! bracket ; ! caster ; ! live ; ! matchday ; ! schedule ; ! tournament ; ! teams ! esports,0
1376,1376,1377,bảo dân_trí tự_ái,1
1628,1628,1629,công phượng sân k ae,0
6590,6590,6591,kiểm_soát 3r win,0
1893,1893,1894,pe,0
6014,6014,6015,đi,0
7272,7272,7273,nhẹ 30 xác đi,0
6185,6185,6186,cho se đc đánh msi ko,0
4511,4511,4512,cook giùm,0
64,64,65,khít,0
821,821,822,jamppi game 1 breach op tín hơi ngộp,0
5342,5342,5343,xong lui,0
6472,6472,6473,má trâu kìa,0
2462,2462,2463,sát_thủ giải tưởng dể đánh rank : ) ) ),0
5108,5108,5109,lưỡi ngắn,1
1940,1940,1941,hoangtd vgm vô_học_hỏi elsu : v,0
7284,7284,7285,đi tay_vịn,1
716,716,717,rito lỗ,0
5658,5658,5659,ke tao game,0
7848,7848,7849,nhẫn : ) ),0
2304,2304,2305,vm mấy trc lắm,0
7159,7159,7160,thôi_miên cực : ) ) ),0
1470,1470,1471,buồn_ngủ,0
1677,1677,1678,giải j_vậy,0
2778,2778,2779,z xóa_i,0
1548,1548,1549,ket goi ten sgp,0
1997,1997,1998,jiro hôm_nay cháy v,0
1078,1078,1079,game 2 - 1,0
3496,3496,3497,farm long đền trông khó_chịu vl,1
1395,1395,1396,bình_con = tôm_con = ri_con ? ? ?,0
2040,2040,2041,ko keo,0
5109,5109,5110,bọn củ_lồn,1
303,303,304,helo hiếu đẹp đẹp chó nhà_em,2
790,790,791,già lắm,0
4275,4275,4276,rupture phi_giáo vl awesome,1
4397,4397,4398,stun quyết_đoán,0
543,543,544,quẩy kìa,0
818,818,819,đèn ngủ đẹp đấy : ) ),0
7172,7172,7173,vừa to tròn = ) ),0
2504,2504,2505,tâm_lí r,0
5413,5413,5414,okie iu,0
2598,2598,2599,toàn ko j,0
2131,2131,2132,mai bắn,0
4115,4115,4116,nice swap ...,0
1355,1355,1356,bắn_onl,0
7357,7357,7358,"3 0 nhẹ_nhàng , gen g vô_địch",0
6066,6066,6067,sủa to,1
4526,4526,4527,thua theanh,0
7852,7852,7853,mid gam lạ,0
2536,2536,2537,thẩm du nè m,1
4577,4577,4578,tp vay thi cht la dung,0
3211,3211,3212,chung_kết bắn mấy trận_vậy ?,0
3663,3663,3664,húc bay,0
7866,7866,7867,kiaya di_ad luon,0
1010,1010,1011,whynotchao simp lỏd,0
4359,4359,4360,simpp_béo,2
4941,4941,4942,rumble vô_dụng,0
2307,2307,2308,nhức nhức đầu,0
5383,5383,5384,cố ae,0
2041,2041,2042,ko kiến_thức đi nhảm,0
6810,6810,6811,toxic vãi lồn,1
616,616,617,"oke , mấy hàn_bắt : ( (",0
2253,2253,2254,ngáo a,1
6396,6396,6397,cua 2,0
884,884,885,t1 vô_địch e : ) ) yeh yeah,0
692,692,693,bắn xa_lộ thông_tin,0
1524,1524,1525,choi game rat la tron,0
7233,7233,7234,đánh kayn sát_thủ đi a,0
2366,2366,2367,pe win,0
144,144,145,kết concard,1
4265,4265,4266,rp lỏ,0
5831,5831,5832,cứu bố mày,0
3651,3651,3652,hoi may cau xlz vay ?,1
696,696,697,cx ak vs m4,0
5380,5380,5381,lv 2 bem ad luob,0
811,811,812,liquid đi,0
7713,7713,7714,bá đần ngày_mai,0
766,766,767,ô trì,0
1583,1583,1584,cố sài_gòn fan tôm,0
7326,7326,7327,giờ toxic tố_cáo duyệt liền,0
5832,5832,5833,"đuối sức r , r",0
4858,4858,4859,phế điên,1
3350,3350,3351,đánh,0
5467,5467,5468,đi đồ đầu,0
5651,5651,5652,dame mày bắn chúng_nó,0
7166,7166,7167,"trận_đấu , tui fan trung_lập thưởng_thức trọn_vẹn cặp đấu",0
61,61,62,ảnh kiếm gái,0
4249,4249,4250,rất chi loằng_ngoằng,0
4651,4651,4652,,0
7434,7434,7435,từ thua wc kênh chat 1 gam màu,0
3091,3091,3092,bs giết,0
5446,5446,5447,đi vs urgot đấy,0
6573,6573,6574,chửi,0
6864,6864,6865,skip gam đánh,0
778,778,779,ối dồi ô,0
263,263,264,rên clm aba,1
7052,7052,7053,xây cầu : v,0
3931,3931,3932,mr hổ rank,0
900,900,901,ko bản_quyền,0
6896,6896,6897,khều ác,0
3935,3935,3936,mua mặt_nạ mana slark đấy,0
6445,6445,6446,có nida kéo trụ 1 19p .,0
2950,2950,2951,am chém tụt kẹc,1
3531,3531,3532,game cary magnus rp đứng bắn lật đc,0
2992,2992,2993,astralis 3h bắn chung_kết navi_nha,0
1978,1978,1979,hq vô_địch,0
1360,1360,1361,bắn lỗi tín_hiệu heavy top 1 ,0
7889,7889,7890,ko ad cấm 5 xạ_thủ,0
6982,6982,6983,"game vng , hút máu_thế",0
2932,2932,2933,agi đầu,0
4613,4613,4614,tưởng đi săn_hóa kéo team chết,0
7095,7095,7096,tổ_chức giải ao làng đi,0
6029,6029,6030,mày ko gank,0
5705,5705,5706,toàn hlv ko_vậy,0
4843,4843,4844,né đi,0
3616,3616,3617,haters ? ? ? ?,0
5102,5102,5103,mày bắn đấy,0
2785,2785,2786,- 1 ngựa,0
3180,3180,3181,chet roi ping low low cai deo ji the,1
5248,5248,5249,đụ má xanh mid,1
3003,3003,3004,awp mồm - 50 : ) ),0
1427,1427,1428,bo best of,0
2198,2198,2199,megakilll,0
6274,6274,6275,tao,0
7028,7028,7029,sang_chấn : ) ) ) ),0
5346,5346,5347,thằng mid,0
1720,1720,1721,cúp đuổi,0
677,677,678,phantom,0
6911,6911,6912,trao phân gửi thận,0
1209,1209,1210,0 kill vô ff,0
1244,1244,1245,4 trận kiểu chẳng đc 1 kill,0
624,624,625,tenz sen,0
6777,6777,6778,tay chậm,0
2613,2613,2614,tôm đòi giao_tranh vớibiker,0
3758,3758,3759,làm sven đỏ nghỉ ngài,0
2488,2488,2489,suốt bâng,0
5365,5365,5366,sp \,0
250,250,251,ảo vc,1
7437,7437,7438,nỏ tử thủ thần_thoại ?,0
2126,2126,2127,"má , hẩm_hiu đối_đầu biker = _ =",1
5701,5701,5702,hành,0
6265,6265,6266,đéo tác_dụng,1
3101,3101,3102,"bướm xong , deadalus ngài",0
3585,3585,3586,góc_niko,0
4388,4388,4389,"sóng_nhiệt , ae",0
6974,6974,6975,dao,0
6661,6661,6662,tank,0
5436,5436,5437,ko,0
5030,5030,5031,mõm aphe top1 tg cầm bón hành : ) ) ),1
5151,5151,5152,đéo,1
4926,4926,4927,"thua k thua , đi thua thằng yếu wildcard_",0
6761,6761,6762,sủa,1
8001,8001,8002,3vy >> > cặc v,2
1608,1608,1609,coi coi đừng kêu vn gà,0
3277,3277,3278,combo huyền_thoại nigma kotl ns,0
6003,6003,6004,mal đánh đần . rank vàng,2
2935,2935,2936,đôn nết ngài đuô icon cóc,0
4675,4675,4676,vcl m249,1
4082,4082,4083,"nguyễn cỏ , sơn lambo , lò_xo 1",0
1658,1658,1659,đánh chán,0
6036,6036,6037,2 thằng óc lồn,2
7382,7382,7383,haizzz ghê,0
1913,1913,1914,heavy,0
6135,6135,6136,,0
4277,4277,4278,rush tĩnh,0
4802,4802,4803,dan `,1
42,42,43,xl = ) ) ) ),1
4515,4515,4516,thoi tha tao,0
3298,3298,3299,crit 2 bắn,0
5871,5871,5872,"heal heal , heal pick sona , soraka kiểu mấy nọi z",0
7865,7865,7866,tắt đèn đi ! tâm_trí : ' ) ),0
5401,5401,5402,pa,0
362,362,363,raze đi : ) hy_vọng anh_dũng,0
7753,7753,7754,tham,0
2111,2111,2112,lyly xinh,0
4555,4555,4556,toàn thua ko,0
586,586,587,việt_nam đầu_tư lương game mobile liên_quân free fire : ) ) . còn lol levi lương ổn,0
6938,6938,6939,,0
6894,6894,6895,dí ác,0
2459,2459,2460,sát quỷ đoàn đội,0
186,186,187,cast chầm_chậm hít đu_đủ = ] ] z,2
3011,3011,3012,bấm 2 tp lsao ngài bấm cồng_kềnh,0
7948,7948,7949,15 ff,0
6605,6605,6606,cme mày,2
5037,5037,5038,vl đồng nguyên ấn wukong đần vãi lồn = ) ),2
5858,5858,5859,tự_dưng anh_hùng,0
7607,7607,7608,"gửi a , blv bá_đuồi . hãy chỉ_trích toxic ảnh_hưởng tinh_thần a . a blv msi , chứng_tỏ kỹ_năng a công_nhận . hãy nghỉ_việc",2
5320,5320,5321,lozzz,1
749,749,750,t tl,0
1480,1480,1481,cháu giải cmt vô văn_hoá thất_học v,2
5331,5331,5332,đẻ_ý,0
6119,6119,6120,"se k coi chiu hàng giùm tao , thò đầu_ra cắn r chui lzj , k ng chửi nhục hả anti",2
3856,3856,3857,massage thông_thạo 30,0
3244,3244,3245,có null ko,0
4095,4095,4096,nhảy max range,0
2637,2637,2638,trời thg fw cháy,0
7740,7740,7741,se nhả rồng bú,1
6004,6004,6005,sút_con jax,0
6054,6054,6055,1 thằng mid,0
1987,1987,1988,im_lặng đi,0
3002,3002,3003,awp đầu chết,0
5825,5825,5826,ki mu_chi,1
3355,3355,3356,đánh nyx đi quanh,0
2187,2187,2188,mdh bắn ck vn xong đòi thế_giới đi săn,0
6530,6530,6531,sủa lắm vãi lồn,1
5610,5610,5611,cầm yone,0
2470,2470,2471,sem hailai sử lí,0
6653,6653,6654,bá_điền ngu_đần vấp ngọng líu_lưỡi,2
5374,5374,5375,rồng,0
1679,1679,1680,dạy tuyển_thủ game hà_kk,0
7541,7541,7542,huhi ngu,2
5243,5243,5244,gank nổi,0
487,487,488,@ hung nguyen game l vn dạo suy vch  giải_đấu trở thời đồ đá lèo_tèo chục nghìn_view,1
5465,5465,5466,ww 12 xác,0
4476,4476,4477,thằng nyx ngài awesome,0
4166,4166,4167,ôi ko gay gunnnnn,0
5856,5856,5857,dame giết đâuu,0
7831,7831,7832,xiếc khỉ,0
5766,5766,5767,blue chết,0
6055,6055,6056,dnah,0
1389,1389,1390,ép góc vo roi,0
1491,1491,1492,cân 2,0
2408,2408,2409,red đánh chán . team,2
1516,1516,1517,chiến_thuật bầy đàn : ),0
5764,5764,5765,mày trẻ trâu vãi cặc,2
7355,7355,7356,câu_chuyện nhắm_mắt 5p : ) ),0
663,663,664,k chữ vn hả,0
6306,6306,6307,bớt ngu đi ad,2
387,387,388,eu giải trông hơi suy : ) ) ) ),0
5159,5159,5160,cặc bắt sp_vậy,1
3285,3285,3286,con ghệ s1mple,0
2559,2559,2560,"thay_thế chs kĩ_năng thái , indo . kĩ_năng pe tl ới indo hơi nhai",0
3153,3153,3154,cc_town,1
1631,1631,1632,croatia vô xdichj,0
2910,2910,2911,8h bắn giao_hữu cs2,0
6818,6818,6819,tội,1
3795,3795,3796,line up khèo . bh mirana vs,0
2534,2534,2535,thailand   7 - 0   vietnoob,0
2903,2903,2904,4agi not bad awesome,0
2432,2432,2433,s view v ta,0
6387,6387,6388,huấn_luyện_viên lll chất v,0
2020,2020,2021,"khoá ac rules 200 củ , game xoá vĩnh_viễn",0
7324,7324,7325,con đi mid rank a,0
7298,7298,7299,t mãi ko thoát dc rank đồng 1 : ) ),0
3679,3679,3680,jackz tư_thế game vl,0
7060,7060,7061,thằng ngu sủa lắm 1 5 đụ má,1
4964,4964,4965,mẹ đọc chính_tả,1
5081,5081,5082,đập tao 2 chết,0
3057,3057,3058,ulti chạy buồn_cười awesome,0
1301,1301,1302,ăn_mày khứa,0
7796,7796,7797,đánh bẩn mắt,0
2588,2588,2589,box đánh biker ghê,0
1900,1900,1901,toá,0
7154,7154,7155,giàu khổ : ) ),0
5549,5549,5550,,0
315,315,316,hở lông nách_kìa,2
2169,2169,2170,mấy thằng blv,0
100,100,101,hello_ck,0
3383,3383,3384,creep giết regen ngài,0
5857,5857,5858,chết thay sp lun,0
5790,5790,5791,cháy cháy,0
4204,4204,4205,pick nô_lệ liền,0
7214,7214,7215,hahahah đặc sẳn rank vàng ... tranh lane phá ... tí 2 thằng top tranh farm last hit lính hài nek,0
1563,1563,1564,. 1 kill vô_địch,0
29,29,30,bọn hàn đánh_bài_bản vl,1
4493,4493,4494,divine,0
3155,3155,3156,cđv cề hết : v,0
1957,1957,1958,hq cố,0
5316,5316,5317,pick nguu vãi lồn,1
5917,5917,5918,late kém,0
6926,6926,6927,số_phận : ) ) ),0
448,448,449,"hạng 4 , giải đi cộng",0
6917,6917,6918,bá_điền 36,0
7982,7982,7983,báo 3ner,0
7156,7156,7157,đại_gia nói_chuyện,0
2949,2949,2950,am chém ngu,1
1001,1001,1002,ngài fiu bắn xong,0
4126,4126,4127,ko suyễn,0
5922,5922,5923,dauy lính,0
4266,4266,4267,rp lul,0
4382,4382,4383,sốc nhiệt bro awesome,0
1942,1942,1943,hơi ẩu roy,0
1838,1838,1839,fr top 1 r : ) ) ) s v,0
7126,7126,7127,liềm,0
4748,4748,4749,wooooo s1mple 120kg,0
3266,3266,3267,win nổi nhậ kèo chi nhục awesome,0
3416,3416,3417,đm vy rủ cơm nóng kìa ngài awesome,1
7980,7980,7981,lol trận jinx vs aphelios msi,0
4816,4816,4817,di_chuyển max đần,1
5503,5503,5504,đ thua tụi m đần,2
3364,3364,3365,danh ' kem ' thi ` di_support de ? nguoi ` ta ho . ganh ',0
5781,5781,5782,,0
1442,1442,1443,bồn lịnhh,2
463,463,464,roài xong,0
197,197,198,sage 0 - 10 mẹ r : ) ) ),1
7715,7715,7716,tạp_âm_vậy,0
4486,4486,4487,ngta đánh medusa bú liền,0
2870,2870,2871,200 cc town,1
7493,7493,7494,"nhánh thắng nhánh thua , ko hiện ha",0
5900,5900,5901,r fl lun,0
7253,7253,7254,,0
3137,3137,3138,carry 500tr 14 / 0 awesome,0
5982,5982,5983,toàn buff linh_tinh,0
290,290,291,hiếu đớ ko hiếu,2
5421,5421,5422,tao thua đi,0
2178,2178,2179,mc da đen vl,2
1733,1733,1734,đừng mặt áo hq,0
2115,2115,2116,m reply cùn v ?,2
1617,1617,1618,game vn mãi k đi đc,0
7033,7033,7034,key a ei : >,0
6017,6017,6018,baron,0
1285,1285,1286,chê vk đen_vậy,0
501,501,502,thằng thọt,0
5756,5756,5757,đầu game ez hơi yếu,0
6520,6520,6521,"hôm_nay vã chovy , ngày_mai vã faker tiếp . yagao bảo ừ",0
5925,5925,5926,đứng mắt,0
6638,6638,6639,hâm,1
4979,4979,4980,giờ đội lót đường đánh trò_cười vn,0
546,546,547,hay,0
631,631,632,ờ_seoldam,0
656,656,657,lật,0
524,524,525,đợi lck phát view vcs xụt thảm_hại cmnl,1
4632,4632,4633,ulti lợi_thế awesome,0
1438,1438,1439,bồn lình đánh mày đấy : đ,2
6511,6511,6512,bot rank bk thua lane,0
4045,4045,4046,ngài solo đ omni r,1
5528,5528,5529,mày thi tác_dụng lồn ping,2
4521,4521,4522,thua,0
5688,5688,5689,huyết kiếm mắt z ?,0
3912,3912,3913,moá ní,0
1007,1007,1008,""" nhẹ """,0
765,765,766,kj trắngg đầu hụt băng kìa,0
689,689,690,nerf,0
4224,4224,4225,xoài cứu_mạng,0
7846,7846,7847,telee vãi lồn,1
2362,2362,2363,pe cháy,0
7100,7100,7101,đồ rừng,0
3798,3798,3799,"linkend , bkb , đồ_nghề",0
2881,2881,2882,3 đá,0
4485,4485,4486,thấy show,0
3690,3690,3691,k bướm xong liken skadi haha,0
6547,6547,6548,gen_cayyyy,0
4243,4243,4244,rank 18 carry awesome,0
583,583,584,"vn toàn cúp học , trộm tiền game",0
5956,5956,5957,tự_tin,0
1095,1095,1096,ace hôm_qua đáy,0
4353,4353,4354,simple cười vcl,1
7332,7332,7333,lối khó_chịu,0
7244,7244,7245,éo phút 11 12 biến đc : ) ),1
7726,7726,7727,2 thằng đanh vui,0
6689,6689,6690,nnghi ~,0
237,237,238,dm quee,1
5440,5440,5441,vãi lồn a,1
1595,1595,1596,cố trận ffac đi 6 ván,0
2460,2460,2461,sát quỷ đoàn team,0
4093,4093,4094,nhảy ? ?,0
4130,4130,4131,no pick am luon,0
1213,1213,1214,1 đổi 2 gáy,0
5098,5098,5099,lo xong thân đi,0
7567,7567,7568,vui ác,0
1484,1484,1485,tướng ảnh bóng vl,2
1974,1974,1975,"hq top 1 gửi ae 5 xị , vn",0
7333,7333,7334,ah đánh ik rừng h đánh rừng ổn đánh cg 6p 6 6,0
8034,8034,8035,geng cố,0
279,279,280,trở_em đi ỉa đi,1
4447,4447,4448,team ulti cm aoe đánh,0
7409,7409,7410,ối dồi ôi độ e 1 / 6 kia,0
571,571,572,chờ seagame dc,0
4370,4370,4371,slark vanguard am dc ko ta,0
3325,3325,3326,cypher co cam_ma,0
923,923,924,lếch tơn,0
6107,6107,6108,mấy thằng gam đái,2
6890,6890,6891,ban mấy spam ko ý_thức = ) ),0
700,700,701,map 3 6h : ) ) ),0
4201,4201,4202,pick magnus hơi phế,0
1758,1758,1759,evos lỏ ngta 2 ván top 3 đc r,0
2283,2283,2284,nhạc v,0
7145,7145,7146,thua òi,0
1951,1951,1952,hóng thua r toxic,0
125,125,126,xấu_ác,0
3720,3720,3721,nễ,0
1369,1369,1370,bang,0
6633,6633,6634,combat mày đi đâu_thế,0
5806,5806,5807,tao kịp,0
5967,5967,5968,lag,0
2347,2347,2348,"ok , kĩ_năng , ko ng call_team",0
1777,1777,1778,fan zuka no pro tập_hợp,0
5283,5283,5284,fl nè,0
7676,7676,7677,yado thở oxy : ) ) ) ),0
7700,7700,7701,test đội_hình,0
2002,2002,2003,jung thua dame sp nể,0
1557,1557,1558,gấu as mobye,0
1179,1179,1180,@ minh ult ko lỗi ntk ko gỡ,0
5118,5118,5119,mày,0
4538,4538,4539,tiếng = ) ),0
2138,2138,2139,bacon,0
6944,6944,6945,xếp moi đứng coi ngầu đét,0
6395,6395,6396,g2 2 - 0 . ván 1 hủy_diệt . ván 2 g2 nhả tý ban_đầu lật kèo khán_giả . hết kịch_bản .,0
614,614,615,hàn_lun nhaa,0
3378,3378,3379,đc ? awesome,0
377,377,378,"map kayo ngon k team pick , khóa ulti raze",0
4357,4357,4358,simple vs kennys : ) ) ),0
5743,5743,5744,e dnt 1 đô,0
5415,5415,5416,i ' m fine !,0
6693,6693,6694,nan ~,0
4720,4720,4721,vs aura awesome,0
4830,4830,4831,4vs5 chấp thằng ngu pyke,2
6349,6349,6350,ping con_mẹ mày,1
7903,7903,7904,hòn đá cô_đơn,0
5847,5847,5848,gank mày,0
7853,7853,7854,thua mặt,0
3333,3333,3334,- _ -,0
90,90,91,đá cười,0
983,983,984,sinh_viên trẻ th,0
4466,4466,4467,thằng béo : ) ),1
1074,1074,1075,đi ngủ,0
7239,7239,7240,game 1 genngu ae all in,0
5870,5870,5871,địt con_mẹ m feed,2
2135,2135,2136,mai hq vô_địch t hài,0
18,18,19,", thịnh dần",0
1265,1265,1266,ad out trình tk cha_nội red,2
5948,5948,5949,đấy chê vn mấy thằng tiêu_chuẩn kép = ) ) ) gaming nước_nhà ko phát_triển,0
7098,7098,7099,triệu_vân lắm ko,0
5665,5665,5666,ping,0
1315,1315,1316,ao_trình,0
3421,3421,3422,đổi 1 mạng chó = ) ),1
753,753,754,giải team team dở : v lhmt,0
754,754,755,nhật nạp game rito : ) ),0
171,171,172,vl nhatthong block : ) ) ) ) ),1
3783,3783,3784,ngựa đi ngàu,0
7162,7162,7163,k dc đấm sếp k dc đấm sếp,2
6784,6784,6785,quát,0
3055,3055,3056,biết check ward awesome,0
5860,5860,5861,sống chẳng,0
5972,5972,5973,game rác vãi cặc,1
6694,6694,6695,g dùm tao,0
6454,6454,6455,đánh cặc,1
2837,2837,2838,10k8 rôi cơ_ah,0
6655,6655,6656,đéo nhường,1
3264,3264,3265,vyy zữ zậy awesome,0
4942,4942,4943,cón sylas đéo tác_dụng k ren,2
2407,2407,2408,red chạy đc đ mấy thằng cu ?,2
7308,7308,7309,gamesense đi rừng,0
2661,2661,2662,umm 11 team zậy,0
326,326,327,bắn đùa,0
5996,5996,5997,mày đánh lee sin pick chi kèo khó_vậy,0
3983,3983,3984,ngài đớ gọi đi nvqs awesome,2
3402,3402,3403,dí es : ) ) ) ) ) ) ) ) ),0
5265,5265,5266,tắt_vietkey,0
2489,2489,2490,suốt magaming mấy đấy,0
3995,3995,3996,ngài đánh 2 trận slark hoà_vốn ah ae ?,0
2546,2546,2547,thắng r,0
841,841,842,đấy jamp,0
5551,5551,5552,tự_ái vãi lồn,1
1862,1862,1863,gấu ko tick,0
3111,3111,3112,chúa hề pháp : v,0
7474,7474,7475,giải_thích hộ lưỡi hái zeri tích_số jinx,0
562,562,563,dạo đi cktg mái quên,0
2069,2069,2070,,0
1597,1597,1598,cố ôm xí,0
5245,5245,5246,đụ má gank mid mạng,1
7642,7642,7643,pun đánh láo phát toang ghê,0
3572,3572,3573,giọng ốm đói,0
7994,7994,7995,tcon cay é é é é é,0
1567,1567,1568,có heavy,0
6078,6078,6079,trúng lamd c cặc,1
810,810,811,map ct thua 7 lật nổi,0
1730,1730,1731,đừng dạy tuyển_thủ game,0
4975,4975,4976,se đánh_vầy đòi đi london . đi london chửi ác . ren bóng giảng đạo đi,2
1068,1068,1069,2 - 0 ez rpopf,0
7347,7347,7348,ghê,0
5278,5278,5279,chửi đồng_đội thiwin lsao đc,0
2941,2941,2942,alo hater ? ?,0
379,379,380,đổi lineup k hợp timing,0
2158,2158,2159,mấy game z,0
4637,4637,4638,uốt đì,0
5477,5477,5478,ad chênh đồ cạn_lời = ) ),0
6637,6637,6638,thằng lồn,2
1056,1056,1057,dg go go !,0
6207,6207,6208,cc def,1
2838,2838,2839,11k chê 500k,0
2782,2782,2783,cháy gọi xe cứu_hỏa,0
4783,4783,4784,nghe mắc mệt,0
4618,4618,4619,? ? ? ko chết z,0
2571,2571,2572,"cỗ vũ vn đi mng , quốc_tế rùi",0
4226,4226,4227,"quạt đực r , quỷ",0
3805,3805,3806,"loc fan , manh vl",1
6101,6101,6102,cha_nội,1
4643,4643,4644,vai lz,1
3159,3159,3160,chạm đáy nỗi đau nàooo,0
